Channel              :,CH1,CH2
Frequency            :,500.0Hz,500.0Hz
Period               :,2.000ms,2.000ms
PK-PK                :,5.120V,5.120V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
75,2560.000000,2640.000000
76,2640.000000,2560.000000
77,2560.000000,2640.000000
78,2560.000000,2560.000000
79,2560.000000,2640.000000
80,2640.000000,2640.000000
81,2560.000000,2560.000000
82,2560.000000,2560.000000
83,2640.000000,2640.000000
84,2560.000000,2560.000000
85,2560.000000,2640.000000
86,2560.000000,2640.000000
87,2560.000000,2560.000000
88,2560.000000,2560.000000
89,2560.000000,2640.000000
90,2640.000000,2640.000000
91,2560.000000,2560.000000
92,2560.000000,2640.000000
93,2560.000000,2560.000000
94,2560.000000,2640.000000
95,2560.000000,2640.000000
96,2560.000000,2560.000000
97,2560.000000,2640.000000
98,2560.000000,2640.000000
99,2640.000000,2560.000000
100,2560.000000,2640.000000
101,2560.000000,2640.000000
102,2560.000000,2640.000000
103,2560.000000,2640.000000
104,2560.000000,2560.000000
105,2560.000000,2560.000000
106,2560.000000,2640.000000
107,2640.000000,2640.000000
108,2640.000000,2560.000000
109,2640.000000,2560.000000
110,2560.000000,2640.000000
111,2640.000000,2560.000000
112,2560.000000,2560.000000
113,2640.000000,2560.000000
114,2560.000000,2560.000000
115,2560.000000,2640.000000
116,2560.000000,2560.000000
117,2560.000000,2560.000000
118,2640.000000,2640.000000
119,2640.000000,2640.000000
120,2640.000000,2560.000000
121,2640.000000,2640.000000
122,2560.000000,2560.000000
123,2640.000000,2640.000000
124,2640.000000,2560.000000
125,2560.000000,2560.000000
126,2640.000000,2640.000000
127,2640.000000,2560.000000
128,2640.000000,2640.000000
129,2560.000000,2640.000000
130,2640.000000,2560.000000
131,2560.000000,2560.000000
132,2640.000000,2640.000000
133,2640.000000,2640.000000
134,2640.000000,2640.000000
135,2640.000000,2560.000000
136,2560.000000,2640.000000
137,2560.000000,2560.000000
138,2640.000000,2640.000000
139,2640.000000,2560.000000
140,2640.000000,2560.000000
141,2640.000000,2560.000000
142,2640.000000,2640.000000
143,2640.000000,2640.000000
144,2640.000000,2640.000000
145,2640.000000,2640.000000
146,2640.000000,2560.000000
147,2560.000000,2560.000000
148,2560.000000,2560.000000
149,2560.000000,2640.000000
150,2560.000000,2640.000000
151,2560.000000,2640.000000
152,2560.000000,2640.000000
153,2560.000000,2560.000000
154,2640.000000,2560.000000
155,2560.000000,2640.000000
156,2560.000000,2560.000000
157,2560.000000,2640.000000
158,2560.000000,2640.000000
159,2640.000000,2560.000000
160,2640.000000,2640.000000
161,2560.000000,2560.000000
162,2640.000000,2560.000000
163,2640.000000,2560.000000
164,2640.000000,2560.000000
165,2560.000000,2560.000000
166,2640.000000,2640.000000
167,2640.000000,2640.000000
168,2640.000000,2640.000000
169,2640.000000,2640.000000
170,2640.000000,2640.000000
171,2640.000000,2560.000000
172,2560.000000,2640.000000
173,2640.000000,2560.000000
174,2640.000000,2640.000000
175,2560.000000,2560.000000
176,2640.000000,2640.000000
177,2560.000000,2560.000000
178,2560.000000,2560.000000
179,2640.000000,2560.000000
180,2640.000000,2560.000000
181,2560.000000,2640.000000
182,2560.000000,2560.000000
183,2640.000000,2640.000000
184,2640.000000,2560.000000
185,2640.000000,2640.000000
186,2560.000000,2640.000000
187,2560.000000,2640.000000
188,2640.000000,2640.000000
189,2560.000000,2640.000000
190,2640.000000,2560.000000
191,2640.000000,2640.000000
192,2640.000000,2640.000000
193,2640.000000,2560.000000
194,2560.000000,2640.000000
195,2640.000000,2560.000000
196,2640.000000,2560.000000
197,2640.000000,2640.000000
198,2560.000000,2640.000000
199,2560.000000,2640.000000
200,2640.000000,2560.000000
201,2560.000000,2560.000000
202,2640.000000,2560.000000
203,2560.000000,2560.000000
204,2640.000000,2560.000000
205,2640.000000,2640.000000
206,2560.000000,2560.000000
207,2560.000000,2640.000000
208,2560.000000,2640.000000
209,2560.000000,2560.000000
210,2640.000000,2640.000000
211,2560.000000,2640.000000
212,2640.000000,2640.000000
213,2560.000000,2640.000000
214,2640.000000,2640.000000
215,2640.000000,2560.000000
216,2640.000000,2640.000000
217,2640.000000,2640.000000
