TimeUs,Ugen,Ur1,Ul1
0.004,,,
0.008,,,
0.012,,,
0.016,,,
0.02,,,
0.024,,,
0.028,,,
0.032,,,
0.036000000000000004,,,
0.04,,,
0.044,,,
0.048,,,
0.052000000000000005,,,
0.056,,,
0.06,,,
0.064,,,
0.068,,,
0.07200000000000001,,,
0.076,,,
0.08,,,
0.084,,,
0.088,,,
0.092,,,
0.096,,,
0.1,,,
0.10400000000000001,,,
0.108,,,
0.112,,,
0.116,,,
0.12,1.3333333333333333,-2.0,0.0
0.124,4.0,-2.0,0.0
0.128,4.0,-2.0,0.0
0.132,4.0,0.6666666666666666,0.0
0.136,4.0,0.6666666666666666,0.0
0.14,4.0,3.3333333333333335,0.0
0.14400000000000002,4.0,3.3333333333333335,0.0
0.148,4.0,3.3333333333333335,0.0
0.152,4.0,0.6666666666666666,0.0
0.156,4.0,0.6666666666666666,0.0
0.16,1.3333333333333333,0.6666666666666666,0.0
0.164,-1.3333333333333333,0.6666666666666666,0.0
0.168,1.3333333333333333,0.6666666666666666,0.0
0.17200000000000001,-1.3333333333333333,0.6666666666666666,0.0
0.176,-1.3333333333333333,0.6666666666666666,0.0
0.18,-4.0,3.3333333333333335,0.0
0.184,-6.666666666666667,3.3333333333333335,0.0
0.188,-6.666666666666667,3.3333333333333335,0.0
0.192,-6.666666666666667,3.3333333333333335,0.0
0.196,-6.666666666666667,6.0,0.0
0.2,-6.666666666666667,6.0,0.0
0.20400000000000001,-4.0,3.3333333333333335,0.0
0.20800000000000002,-4.0,3.3333333333333335,0.0
0.212,-1.3333333333333333,6.0,0.0
0.216,-1.3333333333333333,6.0,0.0
0.22,-1.3333333333333333,8.666666666666666,0.0
0.224,-4.0,8.666666666666666,0.0
0.228,-6.666666666666667,8.666666666666666,0.0
0.232,-6.666666666666667,8.666666666666666,0.0
0.23600000000000002,-6.666666666666667,8.666666666666666,0.0
0.24,-9.333333333333334,8.666666666666666,0.0
0.244,-12.0,8.666666666666666,0.0
0.248,-14.666666666666666,8.666666666666666,0.0
0.252,-17.333333333333332,6.0,0.0
0.256,-17.333333333333332,6.0,0.0
0.26,-17.333333333333332,3.3333333333333335,0.0
0.264,-20.0,3.3333333333333335,0.0
0.268,-20.0,3.3333333333333335,0.0
0.272,-20.0,3.3333333333333335,0.0
0.276,-20.0,3.3333333333333335,0.0
0.28,-17.333333333333332,3.3333333333333335,0.0
0.28400000000000003,-14.666666666666666,6.0,0.0
0.28800000000000003,-14.666666666666666,8.666666666666666,0.0
0.292,-14.666666666666666,11.333333333333334,0.0
0.296,-12.0,11.333333333333334,0.0
0.3,-9.333333333333334,8.666666666666666,0.0
0.304,-6.666666666666667,8.666666666666666,0.0
0.308,-6.666666666666667,11.333333333333334,0.0
0.312,-9.333333333333334,11.333333333333334,0.0
0.316,-9.333333333333334,11.333333333333334,0.0
0.32,-9.333333333333334,11.333333333333334,0.0
0.324,-9.333333333333334,11.333333333333334,0.0
0.328,-9.333333333333334,8.666666666666666,0.0
0.332,-9.333333333333334,6.0,0.0
0.336,-6.666666666666667,6.0,0.0
0.34,-6.666666666666667,3.3333333333333335,0.0
0.34400000000000003,-4.0,3.3333333333333335,0.0
0.34800000000000003,-1.3333333333333333,3.3333333333333335,0.0
0.352,-1.3333333333333333,3.3333333333333335,0.0
0.356,-1.3333333333333333,3.3333333333333335,0.0
0.36,1.3333333333333333,3.3333333333333335,0.0
0.364,4.0,3.3333333333333335,0.0
0.368,6.666666666666667,3.3333333333333335,0.0
0.372,9.333333333333334,3.3333333333333335,0.0
0.376,9.333333333333334,3.3333333333333335,0.0
0.38,9.333333333333334,3.3333333333333335,0.0
0.384,12.0,3.3333333333333335,0.0
0.388,12.0,3.3333333333333335,0.0
0.392,12.0,3.3333333333333335,0.0
0.396,12.0,3.3333333333333335,0.0
0.4,12.0,3.3333333333333335,0.0
0.404,12.0,0.6666666666666666,0.0
0.40800000000000003,12.0,-2.0,0.0
0.41200000000000003,14.666666666666666,-4.666666666666667,0.0
0.41600000000000004,14.666666666666666,-4.666666666666667,0.0
0.42,14.666666666666666,-4.666666666666667,0.0
0.424,12.0,-4.666666666666667,2.6666666666666665
0.428,12.0,-7.333333333333333,2.6666666666666665
0.432,14.666666666666666,-7.333333333333333,2.6666666666666665
0.436,12.0,-10.0,2.6666666666666665
0.44,12.0,-10.0,2.6666666666666665
0.444,12.0,-10.0,2.6666666666666665
0.448,9.333333333333334,-10.0,2.6666666666666665
0.452,9.333333333333334,-10.0,2.6666666666666665
0.456,6.666666666666667,-7.333333333333333,2.6666666666666665
0.46,9.333333333333334,-4.666666666666667,2.6666666666666665
0.464,9.333333333333334,-4.666666666666667,2.6666666666666665
0.468,9.333333333333334,-4.666666666666667,2.6666666666666665
0.47200000000000003,6.666666666666667,-4.666666666666667,2.6666666666666665
0.47600000000000003,6.666666666666667,-4.666666666666667,2.6666666666666665
0.48,6.666666666666667,-4.666666666666667,2.6666666666666665
0.484,6.666666666666667,-4.666666666666667,2.6666666666666665
0.488,6.666666666666667,-4.666666666666667,2.6666666666666665
0.492,6.666666666666667,-4.666666666666667,2.6666666666666665
0.496,4.0,-4.666666666666667,2.6666666666666665
0.5,4.0,-2.0,2.6666666666666665
0.504,4.0,-2.0,2.6666666666666665
0.508,4.0,0.6666666666666666,2.6666666666666665
0.512,4.0,0.6666666666666666,2.6666666666666665
0.516,4.0,0.6666666666666666,2.6666666666666665
0.52,4.0,0.6666666666666666,2.6666666666666665
0.524,4.0,0.6666666666666666,2.6666666666666665
