Channel              :,CH1,CH2
Frequency            :,75.76kHz,75.76kHz
Period               :,13.200us,13.200us
PK-PK                :,5.920V,5.840V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.00400uS,0.00400uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-240.000000,-240.000000
2,-240.000000,-240.000000
3,-160.000000,-240.000000
4,-240.000000,-240.000000
5,-160.000000,-240.000000
6,-160.000000,-240.000000
7,-160.000000,-240.000000
8,-160.000000,-240.000000
9,-160.000000,-240.000000
10,-160.000000,-240.000000
11,-240.000000,-240.000000
12,-160.000000,-240.000000
13,-160.000000,-240.000000
14,-160.000000,-240.000000
15,-160.000000,-160.000000
16,-240.000000,-160.000000
17,-160.000000,-240.000000
18,-160.000000,-240.000000
19,-240.000000,-240.000000
20,-160.000000,-240.000000
21,-160.000000,-240.000000
22,-240.000000,-160.000000
23,-160.000000,-240.000000
24,-160.000000,-240.000000
25,-160.000000,-240.000000
26,-160.000000,-240.000000
27,-160.000000,-240.000000
28,-240.000000,-240.000000
29,-160.000000,-240.000000
30,-160.000000,-240.000000
31,-160.000000,-240.000000
32,-160.000000,-240.000000
33,-160.000000,-240.000000
34,-160.000000,-240.000000
35,-160.000000,-240.000000
36,-160.000000,-240.000000
37,-160.000000,-240.000000
38,-160.000000,-240.000000
39,-160.000000,-240.000000
40,-160.000000,-240.000000
41,-160.000000,-240.000000
42,-160.000000,-240.000000
43,-160.000000,-240.000000
44,-160.000000,-240.000000
45,-240.000000,-160.000000
46,-160.000000,-240.000000
47,-160.000000,-240.000000
48,-160.000000,-240.000000
49,-160.000000,-240.000000
50,-160.000000,-240.000000
51,-160.000000,-240.000000
52,-160.000000,-240.000000
53,-160.000000,-160.000000
54,-160.000000,-240.000000
55,-160.000000,-240.000000
56,-160.000000,-240.000000
57,-160.000000,-240.000000
58,-160.000000,-240.000000
59,-160.000000,-240.000000
60,-160.000000,-240.000000
61,-160.000000,-240.000000
62,-160.000000,-240.000000
63,-240.000000,-240.000000
64,-160.000000,-240.000000
65,-160.000000,-240.000000
66,-160.000000,-240.000000
67,-160.000000,-240.000000
68,-240.000000,-240.000000
69,-160.000000,-240.000000
70,-160.000000,-240.000000
71,-160.000000,-240.000000
72,-160.000000,-240.000000
73,-160.000000,-240.000000
74,-160.000000,-240.000000
75,-160.000000,-160.000000
76,-160.000000,-160.000000
77,-160.000000,-160.000000
78,-160.000000,-240.000000
79,-160.000000,-160.000000
80,-160.000000,-240.000000
81,-160.000000,-240.000000
82,-160.000000,-240.000000
83,-160.000000,-240.000000
84,-160.000000,-240.000000
85,-160.000000,-240.000000
86,-240.000000,-160.000000
87,-240.000000,-240.000000
88,-160.000000,-240.000000
89,-160.000000,-240.000000
90,-160.000000,-240.000000
91,-240.000000,-240.000000
92,-160.000000,-240.000000
93,-160.000000,-240.000000
94,-160.000000,-240.000000
95,-160.000000,-240.000000
96,-160.000000,-240.000000
97,-160.000000,-240.000000
98,-160.000000,-240.000000
99,-160.000000,-240.000000
100,-160.000000,-240.000000
101,-160.000000,-240.000000
102,-160.000000,-240.000000
103,-160.000000,-240.000000
104,-160.000000,-240.000000
105,-160.000000,-240.000000
106,-240.000000,-240.000000
107,-240.000000,-240.000000
108,-240.000000,-240.000000
109,-160.000000,-240.000000
110,-160.000000,-240.000000
111,-160.000000,-240.000000
112,-160.000000,-240.000000
113,-160.000000,-240.000000
114,-160.000000,-240.000000
115,-240.000000,-240.000000
116,-240.000000,-160.000000
117,-160.000000,-160.000000
118,-160.000000,-240.000000
119,-160.000000,-160.000000
120,-160.000000,-160.000000
121,-160.000000,-240.000000
122,-160.000000,-240.000000
123,-160.000000,-240.000000
124,-160.000000,-240.000000
125,-160.000000,-240.000000
126,-160.000000,-240.000000
127,-160.000000,-160.000000
128,-160.000000,-240.000000
129,-160.000000,-160.000000
130,-160.000000,-160.000000
131,-160.000000,-160.000000
132,-160.000000,-240.000000
133,-240.000000,-160.000000
134,-160.000000,-240.000000
135,-160.000000,-240.000000
136,-160.000000,-240.000000
137,-160.000000,-240.000000
138,-160.000000,-240.000000
139,-160.000000,-240.000000
140,-240.000000,-160.000000
141,-160.000000,-240.000000
142,-160.000000,-240.000000
143,-160.000000,-240.000000
144,-240.000000,-160.000000
145,-160.000000,-160.000000
146,-160.000000,-240.000000
147,-160.000000,-240.000000
148,-160.000000,-240.000000
149,-160.000000,-240.000000
150,-160.000000,-240.000000
151,-160.000000,-240.000000
152,-160.000000,-240.000000
153,-160.000000,-240.000000
154,-160.000000,-240.000000
155,-160.000000,-240.000000
156,-160.000000,-240.000000
157,-160.000000,-240.000000
158,-160.000000,-240.000000
159,-160.000000,-160.000000
160,-160.000000,-160.000000
161,-160.000000,-240.000000
162,-160.000000,-240.000000
163,-160.000000,-240.000000
164,-160.000000,-160.000000
165,-160.000000,-240.000000
166,-160.000000,-240.000000
167,-160.000000,-240.000000
168,-160.000000,-160.000000
169,-160.000000,-240.000000
170,-160.000000,-240.000000
171,-160.000000,-160.000000
172,-160.000000,-160.000000
173,-160.000000,-160.000000
174,-160.000000,-240.000000
175,-160.000000,-240.000000
176,-160.000000,-240.000000
177,-160.000000,-240.000000
178,-160.000000,-240.000000
179,-160.000000,-240.000000
180,-160.000000,-240.000000
181,-160.000000,-240.000000
182,-160.000000,-240.000000
183,-160.000000,-240.000000
184,-160.000000,-240.000000
185,-160.000000,-240.000000
186,-160.000000,-240.000000
187,-160.000000,-240.000000
188,-160.000000,-240.000000
189,-160.000000,-160.000000
190,-160.000000,-240.000000
191,-160.000000,-240.000000
192,-240.000000,-240.000000
193,-160.000000,-240.000000
194,-160.000000,-240.000000
195,-160.000000,-240.000000
196,-160.000000,-240.000000
197,-160.000000,-240.000000
198,-160.000000,-240.000000
199,-160.000000,-240.000000
200,-160.000000,-240.000000
201,-160.000000,-240.000000
202,-240.000000,-240.000000
203,-160.000000,-240.000000
204,-160.000000,-240.000000
205,-160.000000,-160.000000
206,-240.000000,-240.000000
207,-240.000000,-240.000000
208,-160.000000,-240.000000
209,-160.000000,-240.000000
210,-160.000000,-160.000000
211,-160.000000,-240.000000
212,-160.000000,-240.000000
213,-240.000000,-240.000000
214,-160.000000,-240.000000
215,-160.000000,-240.000000
216,-160.000000,-240.000000
217,-160.000000,-240.000000
218,-240.000000,-240.000000
219,-240.000000,-240.000000
220,-240.000000,-240.000000
221,-240.000000,-160.000000
222,-160.000000,-240.000000
223,-160.000000,-240.000000
224,-160.000000,-240.000000
225,-160.000000,-240.000000
226,-240.000000,-160.000000
227,-160.000000,-160.000000
228,-160.000000,-240.000000
229,-160.000000,-240.000000
230,-240.000000,-240.000000
231,-160.000000,-160.000000
232,-160.000000,-240.000000
233,-160.000000,-240.000000
234,-160.000000,-160.000000
235,-160.000000,-160.000000
236,-240.000000,-240.000000
237,-240.000000,-240.000000
238,-240.000000,-240.000000
239,-240.000000,-240.000000
240,-160.000000,-240.000000
241,-160.000000,-160.000000
242,-160.000000,-160.000000
243,-160.000000,-240.000000
244,-160.000000,-160.000000
245,-240.000000,-240.000000
246,-240.000000,-240.000000
247,-240.000000,-240.000000
248,-240.000000,-240.000000
249,-160.000000,-240.000000
250,-160.000000,-240.000000
251,-160.000000,-240.000000
252,-160.000000,-160.000000
253,-160.000000,-240.000000
254,-160.000000,-240.000000
255,-160.000000,-240.000000
256,-160.000000,-240.000000
257,-160.000000,-240.000000
258,-160.000000,-240.000000
259,-160.000000,-240.000000
260,-160.000000,-240.000000
261,-160.000000,-160.000000
262,-240.000000,-240.000000
263,-240.000000,-240.000000
264,-160.000000,-240.000000
265,-240.000000,-240.000000
266,-240.000000,-240.000000
267,-160.000000,-240.000000
268,-160.000000,-240.000000
269,-160.000000,-240.000000
270,-160.000000,-240.000000
271,-160.000000,-240.000000
272,-160.000000,-240.000000
273,-160.000000,-240.000000
274,-160.000000,-240.000000
275,-160.000000,-240.000000
276,-160.000000,-240.000000
277,-160.000000,-240.000000
278,-160.000000,-240.000000
279,-160.000000,-240.000000
280,-160.000000,-240.000000
281,-160.000000,-160.000000
282,-160.000000,-240.000000
283,-160.000000,-240.000000
284,-160.000000,-240.000000
285,-240.000000,-160.000000
286,-240.000000,-160.000000
287,-240.000000,-240.000000
288,-160.000000,-240.000000
289,-160.000000,-240.000000
290,-160.000000,-240.000000
291,-160.000000,-160.000000
292,-160.000000,-240.000000
293,-160.000000,-240.000000
294,-160.000000,-240.000000
295,-160.000000,-240.000000
296,-160.000000,-240.000000
297,-160.000000,-160.000000
298,-160.000000,-240.000000
299,-240.000000,-240.000000
300,-160.000000,-240.000000
301,-160.000000,-240.000000
302,-240.000000,-240.000000
303,-240.000000,-240.000000
304,-160.000000,-240.000000
305,-160.000000,-240.000000
306,-160.000000,-240.000000
307,-240.000000,-240.000000
308,-160.000000,-240.000000
309,-160.000000,-240.000000
310,-160.000000,-240.000000
311,-240.000000,-240.000000
312,-160.000000,-240.000000
313,-160.000000,-240.000000
314,-160.000000,-240.000000
315,-160.000000,-240.000000
316,-160.000000,-240.000000
317,-160.000000,-240.000000
318,-160.000000,-240.000000
319,-160.000000,-240.000000
320,-160.000000,-240.000000
321,-160.000000,-240.000000
322,-160.000000,-240.000000
323,-240.000000,-240.000000
324,-160.000000,-240.000000
325,-160.000000,-240.000000
326,-160.000000,-240.000000
327,-240.000000,-160.000000
328,-160.000000,-240.000000
329,-160.000000,-240.000000
330,-160.000000,-160.000000
331,-160.000000,-240.000000
332,-240.000000,-160.000000
333,-160.000000,-240.000000
334,-160.000000,-160.000000
335,-160.000000,-240.000000
336,-240.000000,-240.000000
337,-160.000000,-160.000000
338,-240.000000,-240.000000
339,-240.000000,-240.000000
340,-160.000000,-240.000000
341,-160.000000,-240.000000
342,-160.000000,-240.000000
343,-160.000000,-240.000000
344,-160.000000,-240.000000
345,-160.000000,-240.000000
346,-160.000000,-240.000000
347,-160.000000,-240.000000
348,-160.000000,-240.000000
349,-160.000000,-240.000000
350,-160.000000,-240.000000
351,-160.000000,-240.000000
352,-160.000000,-160.000000
353,-160.000000,-240.000000
354,-160.000000,-240.000000
355,-160.000000,-240.000000
356,-240.000000,-160.000000
357,-160.000000,-240.000000
358,-160.000000,-160.000000
359,-240.000000,-240.000000
360,-240.000000,-240.000000
361,-160.000000,-240.000000
362,-160.000000,-240.000000
363,-160.000000,-240.000000
364,-160.000000,-240.000000
365,-160.000000,-240.000000
366,-160.000000,-240.000000
367,-160.000000,-240.000000
368,-160.000000,-240.000000
369,-160.000000,-240.000000
370,-160.000000,-240.000000
371,-160.000000,-160.000000
372,-160.000000,-240.000000
373,-160.000000,-240.000000
374,-160.000000,-160.000000
375,-160.000000,-240.000000
376,-160.000000,-240.000000
377,-160.000000,-240.000000
378,-160.000000,-240.000000
379,-160.000000,-160.000000
380,-160.000000,-240.000000
381,-160.000000,-240.000000
382,-160.000000,-160.000000
383,-160.000000,-240.000000
384,-160.000000,-240.000000
385,-160.000000,-240.000000
386,-160.000000,-240.000000
387,-160.000000,-240.000000
388,-160.000000,-240.000000
389,-160.000000,-240.000000
390,-160.000000,-240.000000
391,-240.000000,-240.000000
392,-240.000000,-240.000000
393,-160.000000,-240.000000
394,-160.000000,-240.000000
395,-160.000000,-240.000000
396,-240.000000,-240.000000
397,-160.000000,-240.000000
398,-160.000000,-240.000000
399,-160.000000,-160.000000
400,-160.000000,-240.000000
401,-160.000000,-240.000000
402,-160.000000,-240.000000
403,-160.000000,-160.000000
404,-160.000000,-240.000000
405,-160.000000,-240.000000
406,-240.000000,-160.000000
407,-160.000000,-160.000000
408,-160.000000,-240.000000
409,-160.000000,-240.000000
410,-160.000000,-240.000000
411,-160.000000,-240.000000
412,-160.000000,-240.000000
413,-160.000000,-240.000000
414,-160.000000,-240.000000
415,-240.000000,-240.000000
416,-240.000000,-160.000000
417,-240.000000,-160.000000
418,-160.000000,-240.000000
419,-160.000000,-240.000000
420,-160.000000,-240.000000
421,-160.000000,-240.000000
422,-160.000000,-240.000000
423,-160.000000,-240.000000
424,-160.000000,-240.000000
425,-160.000000,-240.000000
426,-160.000000,-240.000000
427,-160.000000,-240.000000
428,-160.000000,-240.000000
429,-160.000000,-160.000000
430,-160.000000,-240.000000
431,-160.000000,-240.000000
432,-160.000000,-240.000000
433,-160.000000,-240.000000
434,-160.000000,-240.000000
435,-240.000000,-240.000000
436,-240.000000,-240.000000
437,-160.000000,-240.000000
438,-240.000000,-240.000000
439,-240.000000,-240.000000
440,-160.000000,-240.000000
441,-240.000000,-240.000000
442,-160.000000,-240.000000
443,-160.000000,-240.000000
444,-160.000000,-240.000000
445,-160.000000,-240.000000
446,-240.000000,-240.000000
447,-160.000000,-240.000000
448,-160.000000,-240.000000
449,-240.000000,-240.000000
450,-160.000000,-240.000000
451,-160.000000,-240.000000
