TimeUs,Ugen,Ur1,Ul1
0.01,,,
0.02,,,
0.03,,,
0.04,,,
0.05,,,
0.06,,,
0.07,,,
0.08,,,
0.09,,,
0.1,,,
0.11,,,
0.12,,,
0.13,,,
0.14,,,
0.15,,,
0.16,,,
0.17,,,
0.18,,,
0.19,,,
0.2,,,
0.21,,,
0.22,,,
0.23,,,
0.24,,,
0.25,,,
0.26,,,
0.27,,,
0.28,,,
0.29,,,
0.3,-4.666666666666667,-11.333333333333334,1.3333333333333333
0.31,-2.0,-11.333333333333334,4.0
0.32,-2.0,-11.333333333333334,4.0
0.33,-2.0,-11.333333333333334,1.3333333333333333
0.34,-4.666666666666667,-11.333333333333334,1.3333333333333333
0.35000000000000003,-4.666666666666667,-11.333333333333334,-1.3333333333333333
0.36,-4.666666666666667,-11.333333333333334,-1.3333333333333333
0.37,-2.0,-11.333333333333334,-4.0
0.38,-2.0,-8.666666666666666,-4.0
0.39,0.6666666666666666,-8.666666666666666,-4.0
0.4,3.3333333333333335,-6.0,-4.0
0.41000000000000003,0.6666666666666666,-8.666666666666666,-6.666666666666667
0.42,-2.0,-8.666666666666666,-6.666666666666667
0.43,-4.666666666666667,-6.0,-9.333333333333334
0.44,-4.666666666666667,-8.666666666666666,-9.333333333333334
0.45,-4.666666666666667,-11.333333333333334,-9.333333333333334
0.46,-4.666666666666667,-11.333333333333334,-12.0
0.47000000000000003,-4.666666666666667,-11.333333333333334,-12.0
0.48,-2.0,-14.0,-12.0
0.49,-2.0,-14.0,-14.666666666666666
0.5,0.6666666666666666,-14.0,-14.666666666666666
0.51,0.6666666666666666,-14.0,-14.666666666666666
0.52,-2.0,-11.333333333333334,-14.666666666666666
0.53,0.6666666666666666,-14.0,-17.333333333333332
0.54,3.3333333333333335,-11.333333333333334,-17.333333333333332
0.55,3.3333333333333335,-11.333333333333334,-17.333333333333332
0.56,3.3333333333333335,-8.666666666666666,-17.333333333333332
0.5700000000000001,6.0,-8.666666666666666,-14.666666666666666
0.58,6.0,-6.0,-14.666666666666666
0.59,6.0,-6.0,-14.666666666666666
0.6,8.666666666666666,-8.666666666666666,-14.666666666666666
0.61,6.0,-8.666666666666666,-17.333333333333332
0.62,3.3333333333333335,-8.666666666666666,-17.333333333333332
0.63,0.6666666666666666,-8.666666666666666,-17.333333333333332
0.64,3.3333333333333335,-8.666666666666666,-17.333333333333332
0.65,3.3333333333333335,-8.666666666666666,-14.666666666666666
0.66,3.3333333333333335,-8.666666666666666,-14.666666666666666
0.67,3.3333333333333335,-8.666666666666666,-14.666666666666666
0.68,6.0,-11.333333333333334,-14.666666666666666
0.6900000000000001,6.0,-11.333333333333334,-17.333333333333332
0.7000000000000001,6.0,-14.0,-17.333333333333332
0.71,8.666666666666666,-14.0,-17.333333333333332
0.72,11.333333333333334,-16.666666666666668,-17.333333333333332
0.73,14.0,-19.333333333333332,-14.666666666666666
0.74,14.0,-16.666666666666668,-14.666666666666666
0.75,11.333333333333334,-16.666666666666668,-12.0
0.76,11.333333333333334,-14.0,-9.333333333333334
0.77,11.333333333333334,-14.0,-9.333333333333334
0.78,11.333333333333334,-14.0,-9.333333333333334
0.79,11.333333333333334,-14.0,-9.333333333333334
0.8,11.333333333333334,-14.0,-9.333333333333334
0.81,11.333333333333334,-14.0,-6.666666666666667
0.8200000000000001,11.333333333333334,-16.666666666666668,-6.666666666666667
0.8300000000000001,11.333333333333334,-16.666666666666668,-6.666666666666667
0.84,11.333333333333334,-16.666666666666668,-6.666666666666667
0.85,8.666666666666666,-16.666666666666668,-6.666666666666667
0.86,8.666666666666666,-19.333333333333332,-6.666666666666667
0.87,8.666666666666666,-19.333333333333332,-6.666666666666667
0.88,8.666666666666666,-22.0,-6.666666666666667
0.89,8.666666666666666,-22.0,-4.0
0.9,6.0,-19.333333333333332,-4.0
0.91,6.0,-19.333333333333332,-4.0
0.92,8.666666666666666,-19.333333333333332,-4.0
0.93,11.333333333333334,-19.333333333333332,-1.3333333333333333
0.9400000000000001,8.666666666666666,-19.333333333333332,-1.3333333333333333
0.9500000000000001,8.666666666666666,-19.333333333333332,-1.3333333333333333
0.96,8.666666666666666,-19.333333333333332,-1.3333333333333333
0.97,8.666666666666666,-19.333333333333332,-1.3333333333333333
0.98,6.0,-19.333333333333332,-1.3333333333333333
0.99,6.0,-19.333333333333332,-1.3333333333333333
1.0,3.3333333333333335,-19.333333333333332,-1.3333333333333333
1.01,3.3333333333333335,-19.333333333333332,-1.3333333333333333
1.02,3.3333333333333335,-19.333333333333332,-4.0
1.03,3.3333333333333335,-19.333333333333332,-6.666666666666667
1.04,3.3333333333333335,-19.333333333333332,-6.666666666666667
1.05,6.0,-16.666666666666668,-6.666666666666667
1.06,6.0,-16.666666666666668,-6.666666666666667
1.07,6.0,-16.666666666666668,-4.0
1.08,6.0,-14.0,-4.0
1.09,8.666666666666666,-14.0,-4.0
1.1,8.666666666666666,-14.0,-4.0
1.11,6.0,-14.0,-6.666666666666667
1.12,6.0,-11.333333333333334,-6.666666666666667
1.1300000000000001,6.0,-11.333333333333334,-6.666666666666667
1.1400000000000001,6.0,-14.0,-6.666666666666667
1.1500000000000001,8.666666666666666,-14.0,-4.0
1.16,8.666666666666666,-14.0,-4.0
1.17,8.666666666666666,-14.0,-6.666666666666667
1.18,6.0,-14.0,-6.666666666666667
1.19,6.0,-14.0,-9.333333333333334
1.2,8.666666666666666,-14.0,-9.333333333333334
1.21,8.666666666666666,-14.0,-6.666666666666667
1.22,6.0,-11.333333333333334,-6.666666666666667
