TimeUs,Ugen,Ur1,Uc1
708,-3120.0,0.0,-3200.0
712,-3200.0,0.0,-3120.0
716,-3120.0,80.0,-3200.0
720,-3120.0,80.0,-3200.0
724,-3200.0,80.0,-3200.0
728,-3200.0,80.0,-3200.0
732,-3120.0,0.0,-3200.0
736,-3200.0,80.0,-3120.0
740,-3120.0,0.0,-3200.0
744,-3200.0,0.0,-3200.0
748,-3200.0,80.0,-3120.0
752,-3200.0,0.0,-3120.0
756,-3200.0,80.0,-3120.0
760,-3200.0,80.0,-3200.0
764,-3120.0,80.0,-3200.0
768,-3120.0,0.0,-3200.0
772,-3120.0,80.0,-3200.0
776,-3200.0,80.0,-3200.0
780,-3120.0,80.0,-3120.0
784,-3200.0,80.0,-3200.0
788,-3120.0,80.0,-3200.0
792,-3120.0,0.0,-3200.0
796,-3200.0,80.0,-3200.0
800,-3120.0,80.0,-3200.0
804,-3200.0,80.0,-3200.0
808,-3200.0,80.0,-3200.0
812,-3120.0,80.0,-3200.0
816,-3200.0,80.0,-3200.0
820,-3200.0,0.0,-3120.0
824,-3120.0,80.0,-3200.0
828,-3200.0,80.0,-3200.0
832,-3200.0,0.0,-3120.0
836,-3200.0,0.0,-3200.0
840,-3200.0,80.0,-3200.0
844,-3120.0,80.0,-3200.0
848,-3200.0,80.0,-3200.0
852,-3200.0,80.0,-3200.0
856,-3200.0,80.0,-3200.0
860,-3120.0,80.0,-3200.0
864,-3120.0,80.0,-3200.0
868,-3200.0,80.0,-3200.0
872,-3120.0,80.0,-3200.0
876,-3200.0,80.0,-3200.0
880,-3200.0,80.0,-3120.0
884,-3120.0,80.0,-3200.0
888,-3120.0,80.0,-3120.0
892,-3200.0,80.0,-3200.0
896,-3200.0,80.0,-3120.0
900,-3120.0,80.0,-3120.0
904,-3120.0,80.0,-3200.0
908,-3200.0,80.0,-3200.0
912,-3120.0,80.0,-3200.0
916,-3120.0,80.0,-3200.0
920,-3200.0,80.0,-3120.0
924,-3120.0,80.0,-3120.0
928,-3120.0,80.0,-3200.0
932,-3120.0,80.0,-3120.0
936,-3200.0,80.0,-3200.0
940,-3120.0,80.0,-3120.0
944,-3120.0,0.0,-3200.0
948,-3200.0,80.0,-3200.0
952,-3200.0,0.0,-3200.0
956,-3200.0,80.0,-3200.0
960,-3120.0,80.0,-3120.0
964,-3200.0,80.0,-3200.0
968,-3200.0,0.0,-3120.0
972,-3120.0,80.0,-3200.0
976,-3200.0,0.0,-3120.0
980,-3200.0,80.0,-3200.0
984,-3120.0,80.0,-3200.0
988,-3200.0,80.0,-3200.0
992,-3200.0,80.0,-3200.0
996,-3120.0,80.0,-3200.0
1000,-3200.0,0.0,-3200.0
1004,-3120.0,80.0,-3200.0
1008,-3200.0,0.0,-3200.0
1012,-3200.0,80.0,-3200.0
1016,-3200.0,80.0,-3200.0
1020,-3200.0,80.0,-3120.0
1024,-3200.0,0.0,-3200.0
1028,-3200.0,0.0,-3200.0
1032,-3120.0,80.0,-3120.0
1036,-3200.0,80.0,-3200.0
1040,-3120.0,80.0,-3200.0
1044,-3200.0,0.0,-3200.0
1048,-3120.0,80.0,-3200.0
1052,-3200.0,80.0,-3200.0
1056,-3120.0,80.0,-3200.0
1060,-3200.0,80.0,-3200.0
1064,-3200.0,80.0,-3200.0
1068,-3120.0,0.0,-3120.0
1072,-3120.0,80.0,-3200.0
1076,-3120.0,80.0,-3200.0
1080,-3200.0,80.0,-3200.0
1084,-3200.0,80.0,-3120.0
1088,-3120.0,80.0,-3200.0
1092,-3120.0,80.0,-3200.0
1096,-3200.0,80.0,-3200.0
1100,-3200.0,80.0,-3120.0
1104,-3200.0,80.0,-3200.0
1108,-3200.0,0.0,-3120.0
1112,-3200.0,0.0,-3120.0
1116,-3200.0,80.0,-3120.0
1120,-3200.0,80.0,-3120.0
1124,-3200.0,80.0,-3120.0
1128,-3200.0,80.0,-3120.0
1132,-3200.0,80.0,-3200.0
1136,-3120.0,80.0,-3200.0
1140,-3200.0,80.0,-3200.0
1144,-3120.0,80.0,-3200.0
1148,-3200.0,80.0,-3120.0
1152,-3200.0,80.0,-3200.0
1156,-3200.0,80.0,-3200.0
1160,-3200.0,80.0,-3200.0
1164,-3120.0,80.0,-3200.0
1168,-3120.0,80.0,-3120.0
1172,-3120.0,80.0,-3200.0
1176,-3120.0,0.0,-3200.0
1180,-3120.0,0.0,-3200.0
1184,-3200.0,80.0,-3200.0
1188,-3120.0,80.0,-3200.0
1192,-3120.0,80.0,-3200.0
1196,-3200.0,80.0,-3120.0
1200,-3200.0,0.0,-3120.0
1204,-3120.0,0.0,-3120.0
1208,-3200.0,80.0,-3200.0
