TimeUs,Ugen,Ur1,Uc1
10,0.0,0.0,0.0
20,0.0,40.0,0.0
30,0.0,40.0,0.0
40,0.0,0.0,0.0
50,0.0,0.0,0.0
60,0.0,0.0,0.0
70,0.0,0.0,0.0
80,0.0,0.0,0.0
90,0.0,40.0,0.0
100,0.0,0.0,0.0
110,0.0,0.0,0.0
120,0.0,0.0,0.0
130,0.0,0.0,0.0
140,0.0,40.0,0.0
150,0.0,0.0,0.0
160,0.0,0.0,0.0
170,0.0,0.0,0.0
180,0.0,0.0,0.0
190,0.0,40.0,0.0
200,0.0,0.0,0.0
210,0.0,0.0,0.0
220,40.0,0.0,0.0
230,0.0,40.0,0.0
240,0.0,0.0,0.0
250,0.0,0.0,0.0
260,0.0,0.0,0.0
270,0.0,40.0,0.0
280,0.0,0.0,0.0
290,40.0,0.0,0.0
300,0.0,40.0,0.0
310,0.0,40.0,0.0
320,0.0,0.0,0.0
330,40.0,0.0,0.0
340,0.0,0.0,0.0
350,0.0,0.0,-40.0
360,0.0,0.0,0.0
370,0.0,0.0,0.0
380,0.0,0.0,0.0
390,0.0,0.0,0.0
400,0.0,40.0,0.0
410,0.0,40.0,0.0
420,0.0,40.0,0.0
430,0.0,0.0,0.0
440,0.0,40.0,0.0
450,40.0,0.0,0.0
460,0.0,0.0,0.0
470,0.0,0.0,0.0
480,0.0,40.0,0.0
490,0.0,0.0,0.0
500,0.0,40.0,0.0
510,0.0,0.0,0.0
520,0.0,0.0,0.0
530,0.0,40.0,0.0
540,0.0,0.0,40.0
550,0.0,0.0,0.0
560,0.0,0.0,0.0
570,0.0,40.0,0.0
580,0.0,40.0,0.0
590,0.0,40.0,0.0
600,40.0,40.0,0.0
610,0.0,0.0,0.0
620,40.0,0.0,0.0
630,0.0,0.0,0.0
640,0.0,40.0,0.0
650,0.0,0.0,0.0
660,0.0,40.0,0.0
670,0.0,0.0,0.0
680,40.0,0.0,0.0
690,0.0,40.0,0.0
700,40.0,0.0,0.0
710,0.0,40.0,0.0
720,0.0,40.0,0.0
730,0.0,0.0,0.0
740,0.0,40.0,0.0
750,0.0,0.0,0.0
760,0.0,40.0,0.0
770,0.0,0.0,0.0
780,0.0,0.0,0.0
790,0.0,40.0,0.0
800,0.0,40.0,0.0
810,0.0,0.0,0.0
820,0.0,0.0,0.0
830,0.0,0.0,0.0
840,0.0,40.0,0.0
850,40.0,0.0,0.0
860,0.0,0.0,0.0
870,0.0,0.0,0.0
880,0.0,40.0,0.0
890,0.0,40.0,0.0
900,0.0,0.0,0.0
910,0.0,0.0,0.0
920,0.0,0.0,0.0
930,0.0,0.0,0.0
940,0.0,40.0,0.0
950,0.0,40.0,0.0
960,0.0,40.0,0.0
970,0.0,0.0,0.0
980,0.0,40.0,0.0
990,0.0,0.0,0.0
1000,40.0,0.0,0.0
1010,0.0,0.0,0.0
1020,0.0,0.0,0.0
1030,0.0,0.0,0.0
1040,0.0,0.0,0.0
1050,0.0,0.0,0.0
1060,0.0,0.0,0.0
1070,0.0,0.0,0.0
1080,0.0,0.0,0.0
1090,0.0,0.0,0.0
1100,0.0,0.0,0.0
1110,0.0,40.0,-40.0
1120,0.0,0.0,0.0
1130,0.0,0.0,0.0
1140,0.0,40.0,-40.0
1150,0.0,40.0,0.0
1160,0.0,0.0,0.0
1170,0.0,0.0,0.0
1180,40.0,0.0,0.0
1190,0.0,0.0,0.0
1200,0.0,0.0,0.0
1210,0.0,0.0,0.0
1220,0.0,0.0,0.0
1230,0.0,0.0,0.0
1240,0.0,0.0,0.0
1250,0.0,0.0,40.0
1260,0.0,0.0,0.0
1270,0.0,0.0,0.0
1280,40.0,40.0,0.0
1290,0.0,40.0,0.0
1300,0.0,0.0,0.0
1310,0.0,0.0,0.0
1320,0.0,0.0,0.0
1330,0.0,0.0,0.0
1340,0.0,0.0,0.0
1350,0.0,0.0,0.0
1360,0.0,0.0,0.0
1370,0.0,40.0,0.0
1380,40.0,40.0,0.0
1390,0.0,0.0,0.0
1400,0.0,0.0,0.0
1410,0.0,40.0,0.0
1420,0.0,0.0,0.0
1430,0.0,0.0,0.0
1440,0.0,0.0,0.0
1450,0.0,0.0,0.0
1460,0.0,0.0,0.0
1470,0.0,0.0,0.0
1480,0.0,40.0,0.0
1490,0.0,40.0,0.0
1500,0.0,0.0,0.0
1510,0.0,0.0,0.0
1520,0.0,0.0,0.0
1530,0.0,0.0,0.0
1540,0.0,0.0,0.0
1550,0.0,40.0,0.0
1560,0.0,0.0,0.0
1570,0.0,0.0,0.0
1580,0.0,0.0,0.0
1590,0.0,0.0,0.0
1600,0.0,40.0,0.0
1610,0.0,40.0,0.0
1620,0.0,0.0,0.0
1630,0.0,0.0,0.0
1640,0.0,0.0,0.0
1650,0.0,40.0,0.0
1660,0.0,0.0,0.0
1670,0.0,0.0,0.0
1680,0.0,40.0,0.0
1690,0.0,0.0,0.0
1700,0.0,0.0,0.0
1710,0.0,0.0,0.0
1720,0.0,40.0,0.0
1730,0.0,0.0,0.0
1740,0.0,0.0,0.0
1750,0.0,40.0,0.0
1760,40.0,40.0,0.0
1770,0.0,0.0,0.0
1780,0.0,0.0,0.0
1790,0.0,0.0,0.0
1800,0.0,40.0,0.0
1810,0.0,0.0,0.0
1820,0.0,0.0,0.0
1830,0.0,0.0,0.0
1840,0.0,40.0,0.0
1850,40.0,40.0,0.0
1860,0.0,40.0,0.0
1870,40.0,0.0,0.0
1880,0.0,40.0,0.0
1890,0.0,0.0,0.0
1900,0.0,0.0,0.0
1910,0.0,0.0,0.0
1920,40.0,40.0,0.0
1930,0.0,40.0,0.0
1940,0.0,0.0,0.0
1950,0.0,0.0,0.0
1960,40.0,0.0,0.0
1970,0.0,40.0,0.0
1980,0.0,0.0,0.0
1990,0.0,0.0,0.0
2000,0.0,40.0,0.0
2010,0.0,40.0,0.0
2020,0.0,0.0,0.0
2030,0.0,0.0,0.0
2040,40.0,40.0,0.0
2050,0.0,0.0,0.0
2060,0.0,0.0,0.0
2070,0.0,0.0,0.0
2080,0.0,0.0,0.0
2090,0.0,0.0,0.0
2100,0.0,0.0,0.0
2110,0.0,40.0,0.0
2120,0.0,0.0,0.0
2130,0.0,0.0,0.0
2140,0.0,0.0,0.0
2150,0.0,40.0,0.0
2160,0.0,0.0,0.0
2170,40.0,40.0,0.0
2180,0.0,40.0,0.0
2190,0.0,40.0,-40.0
2200,0.0,40.0,0.0
2210,40.0,40.0,0.0
2220,0.0,0.0,0.0
2230,0.0,0.0,0.0
2240,0.0,0.0,0.0
2250,40.0,0.0,0.0
2260,0.0,0.0,0.0
2270,0.0,40.0,0.0
2280,0.0,0.0,0.0
2290,0.0,0.0,0.0
2300,0.0,40.0,0.0
2310,0.0,40.0,0.0
2320,0.0,40.0,0.0
2330,0.0,0.0,0.0
2340,0.0,0.0,0.0
2350,0.0,40.0,0.0
2360,0.0,0.0,0.0
2370,0.0,0.0,0.0
2380,0.0,0.0,0.0
2390,0.0,40.0,0.0
2400,0.0,0.0,0.0
2410,0.0,0.0,-40.0
2420,0.0,40.0,0.0
2430,0.0,0.0,0.0
2440,0.0,40.0,0.0
2450,0.0,40.0,0.0
2460,0.0,40.0,0.0
2470,0.0,40.0,0.0
2480,0.0,0.0,0.0
2490,0.0,0.0,0.0
2500,0.0,0.0,0.0
2510,0.0,0.0,0.0
2520,0.0,0.0,0.0
2530,0.0,0.0,0.0
2540,0.0,0.0,0.0
2550,0.0,0.0,0.0
2560,0.0,40.0,0.0
2570,0.0,0.0,0.0
2580,0.0,0.0,40.0
2590,0.0,0.0,0.0
2600,0.0,40.0,40.0
2610,0.0,0.0,0.0
2620,40.0,0.0,40.0
2630,0.0,0.0,0.0
2640,0.0,40.0,0.0
2650,0.0,40.0,0.0
2660,0.0,0.0,0.0
2670,0.0,0.0,0.0
2680,40.0,40.0,0.0
2690,0.0,0.0,0.0
2700,0.0,40.0,0.0
2710,0.0,0.0,0.0
2720,0.0,0.0,0.0
2730,0.0,0.0,-40.0
2740,0.0,0.0,0.0
2750,0.0,0.0,0.0
2760,0.0,0.0,0.0
2770,0.0,0.0,0.0
2780,0.0,40.0,0.0
2790,0.0,0.0,0.0
2800,0.0,0.0,0.0
2810,40.0,40.0,0.0
2820,0.0,0.0,0.0
2830,0.0,0.0,0.0
2840,40.0,0.0,0.0
2850,-40.0,40.0,0.0
2860,0.0,0.0,0.0
2870,0.0,0.0,0.0
2880,0.0,40.0,0.0
2890,0.0,40.0,0.0
2900,0.0,0.0,0.0
2910,0.0,40.0,0.0
2920,0.0,0.0,0.0
2930,0.0,0.0,0.0
2940,0.0,0.0,0.0
2950,0.0,0.0,0.0
2960,0.0,0.0,0.0
2970,0.0,0.0,0.0
2980,0.0,40.0,0.0
2990,0.0,0.0,0.0
3000,0.0,0.0,0.0
3010,-1920.0,40.0,-40.0
3020,-1920.0,-1840.0,-40.0
3030,-1920.0,-1840.0,-120.0
3040,-1920.0,-1800.0,-120.0
3050,-1880.0,-1800.0,-120.0
3060,-1880.0,-1720.0,-120.0
3070,-1880.0,-1720.0,-160.0
3080,-1880.0,-1720.0,-200.0
3090,-1880.0,-1680.0,-200.0
3100,-1880.0,-1640.0,-200.0
3110,-1880.0,-1600.0,-240.0
3120,-1880.0,-1600.0,-240.0
3130,-1840.0,-1560.0,-280.0
3140,-1880.0,-1520.0,-280.0
3150,-1840.0,-1480.0,-320.0
3160,-1800.0,-1520.0,-320.0
3170,-1840.0,-1440.0,-320.0
3180,-1840.0,-1440.0,-360.0
3190,-1840.0,-1440.0,-360.0
3200,-1800.0,-1400.0,-400.0
3210,-1800.0,-1360.0,-400.0
3220,-1800.0,-1360.0,-400.0
3230,-1800.0,-1320.0,-440.0
3240,-1760.0,-1320.0,-440.0
3250,-1760.0,-1280.0,-440.0
3260,-1760.0,-1240.0,-480.0
3270,-1760.0,-1280.0,-520.0
3280,-1720.0,-1240.0,-520.0
3290,-1760.0,-1200.0,-520.0
3300,-1760.0,-1200.0,-520.0
3310,-1760.0,-1200.0,-560.0
3320,-1720.0,-1160.0,-560.0
3330,-1720.0,-1120.0,-560.0
3340,-1680.0,-1120.0,-560.0
3350,-1720.0,-1080.0,-560.0
3360,-1680.0,-1120.0,-600.0
3370,-1680.0,-1080.0,-600.0
3380,-1680.0,-1040.0,-640.0
3390,-1680.0,-1040.0,-600.0
3400,-1680.0,-1040.0,-640.0
3410,-1640.0,-960.0,-640.0
3420,-1680.0,-960.0,-680.0
3430,-1640.0,-960.0,-680.0
3440,-1640.0,-960.0,-680.0
3450,-1640.0,-920.0,-680.0
3460,-1640.0,-880.0,-720.0
3470,-1640.0,-880.0,-720.0
3480,-1600.0,-880.0,-720.0
3490,-1600.0,-840.0,-720.0
3500,-1600.0,-840.0,-720.0
3510,-1640.0,-800.0,-760.0
3520,-1560.0,-800.0,-760.0
3530,-1560.0,-760.0,-760.0
3540,-1600.0,-760.0,-760.0
3550,-1560.0,-760.0,-760.0
3560,-1560.0,-760.0,-800.0
3570,-1560.0,-720.0,-760.0
3580,-1560.0,-720.0,-800.0
3590,-1520.0,-720.0,-840.0
3600,-1520.0,-680.0,-800.0
3610,-1520.0,-680.0,-800.0
3620,-1520.0,-640.0,-840.0
3630,-1480.0,-640.0,-840.0
3640,-1480.0,-600.0,-840.0
3650,-1480.0,-600.0,-840.0
3660,-1480.0,-600.0,-840.0
3670,-1480.0,-560.0,-840.0
3680,-1480.0,-560.0,-880.0
3690,-1480.0,-560.0,-880.0
3700,-1480.0,-560.0,-880.0
3710,-1440.0,-520.0,-880.0
3720,-1440.0,-520.0,-920.0
3730,-1440.0,-480.0,-880.0
3740,-1440.0,-520.0,-920.0
3750,-1400.0,-480.0,-880.0
3760,-1400.0,-440.0,-880.0
3770,-1400.0,-440.0,-920.0
3780,-1400.0,-440.0,-920.0
3790,-1400.0,-440.0,-920.0
3800,-1400.0,-400.0,-920.0
3810,-1400.0,-400.0,-920.0
3820,-1400.0,-400.0,-920.0
3830,-1360.0,-360.0,-960.0
3840,-1360.0,-360.0,-960.0
3850,-1360.0,-360.0,-920.0
3860,-1360.0,-320.0,-960.0
3870,-1320.0,-360.0,-960.0
3880,-1320.0,-320.0,-960.0
3890,-1320.0,-320.0,-960.0
3900,-1320.0,-320.0,-960.0
3910,-1320.0,-280.0,-960.0
3920,-1280.0,-280.0,-960.0
3930,-1320.0,-240.0,-1000.0
3940,-1280.0,-280.0,-1000.0
3950,-1280.0,-280.0,-1000.0
3960,-1280.0,-240.0,-1000.0
3970,-1280.0,-240.0,-1000.0
3980,-1240.0,-240.0,-1000.0
3990,-1240.0,-200.0,-1000.0
4000,-1240.0,-200.0,-1000.0
4010,-1240.0,-200.0,-1000.0
4020,-1200.0,-200.0,-1000.0
4030,-1200.0,-160.0,-1000.0
4040,-1200.0,-160.0,-1000.0
4050,-1200.0,-160.0,-1000.0
4060,-1160.0,-160.0,-1000.0
4070,-1160.0,-120.0,-1000.0
4080,-1160.0,-120.0,-1040.0
4090,-1160.0,-120.0,-1000.0
4100,-1160.0,-160.0,-1000.0
4110,-1120.0,-80.0,-1000.0
4120,-1160.0,-80.0,-1040.0
4130,-1160.0,-80.0,-1000.0
4140,-1120.0,-80.0,-1000.0
4150,-1120.0,-40.0,-1040.0
4160,-1120.0,-40.0,-1040.0
4170,-1120.0,-40.0,-1040.0
4180,-1080.0,-40.0,-1000.0
4190,-1080.0,-40.0,-1040.0
4200,-1080.0,-40.0,-1000.0
4210,-1080.0,-40.0,-1040.0
4220,-1040.0,-40.0,-1000.0
4230,-1040.0,0.0,-1040.0
4240,-1040.0,0.0,-1000.0
4250,-1040.0,0.0,-1040.0
4260,-1040.0,0.0,-1000.0
4270,-1000.0,0.0,-1040.0
4280,-1040.0,40.0,-1000.0
4290,-1040.0,40.0,-1040.0
4300,-1000.0,40.0,-1000.0
4310,-1000.0,40.0,-1000.0
4320,-1000.0,40.0,-1000.0
4330,-1000.0,80.0,-1040.0
4340,-960.0,80.0,-1000.0
4350,-960.0,80.0,-1000.0
4360,-960.0,80.0,-1000.0
4370,-960.0,80.0,-1040.0
4380,-920.0,80.0,-1000.0
4390,-920.0,120.0,-1000.0
4400,-920.0,120.0,-1000.0
4410,-920.0,120.0,-1000.0
4420,-880.0,120.0,-1000.0
4430,-920.0,160.0,-1000.0
4440,-880.0,120.0,-1000.0
4450,-880.0,120.0,-1000.0
4460,-880.0,160.0,-1000.0
4470,-880.0,160.0,-1000.0
4480,-880.0,160.0,-1000.0
4490,-840.0,160.0,-1000.0
4500,-840.0,200.0,-1000.0
4510,-840.0,200.0,-1000.0
4520,-840.0,200.0,-1000.0
4530,-800.0,160.0,-960.0
4540,-800.0,200.0,-1000.0
4550,-800.0,200.0,-1000.0
4560,-800.0,200.0,-1000.0
4570,-760.0,200.0,-960.0
4580,-760.0,240.0,-960.0
4590,-760.0,240.0,-960.0
4600,-800.0,280.0,-1000.0
4610,-760.0,240.0,-960.0
4620,-720.0,240.0,-960.0
