TimeUs,Ugen,Ur1,Uc1
4,-80.0,0.0,-80.0
8,-80.0,80.0,0.0
12,-80.0,0.0,0.0
16,-80.0,0.0,0.0
20,-80.0,0.0,0.0
24,0.0,0.0,0.0
28,0.0,0.0,0.0
32,0.0,0.0,0.0
36,0.0,0.0,0.0
40,0.0,0.0,0.0
44,-80.0,0.0,0.0
48,0.0,0.0,0.0
52,-80.0,0.0,0.0
56,0.0,0.0,0.0
60,-80.0,0.0,-80.0
64,0.0,0.0,0.0
68,0.0,0.0,0.0
72,-80.0,0.0,0.0
76,-80.0,80.0,0.0
80,-80.0,0.0,0.0
84,-80.0,0.0,0.0
88,0.0,0.0,0.0
92,0.0,0.0,0.0
96,-80.0,0.0,0.0
100,0.0,0.0,0.0
104,-80.0,0.0,0.0
108,0.0,0.0,0.0
112,0.0,0.0,0.0
116,0.0,0.0,0.0
120,0.0,0.0,0.0
124,0.0,0.0,0.0
128,-80.0,0.0,0.0
132,0.0,0.0,0.0
136,-80.0,0.0,0.0
140,-80.0,0.0,0.0
144,-80.0,80.0,0.0
148,-80.0,0.0,0.0
152,0.0,0.0,0.0
156,-80.0,0.0,-80.0
160,-80.0,0.0,0.0
164,0.0,0.0,0.0
168,-80.0,0.0,0.0
172,0.0,0.0,0.0
176,-80.0,0.0,0.0
180,0.0,0.0,0.0
184,-80.0,0.0,0.0
188,-80.0,0.0,0.0
192,-80.0,0.0,0.0
196,-80.0,0.0,-80.0
200,0.0,0.0,0.0
204,-80.0,0.0,0.0
208,-80.0,0.0,0.0
212,-80.0,0.0,0.0
216,-80.0,0.0,0.0
220,-80.0,0.0,0.0
224,-80.0,0.0,0.0
228,-80.0,0.0,0.0
232,-80.0,0.0,0.0
236,-80.0,0.0,-80.0
240,0.0,0.0,0.0
244,-80.0,0.0,0.0
248,-80.0,0.0,0.0
252,-80.0,0.0,0.0
256,0.0,0.0,0.0
260,0.0,0.0,0.0
264,-80.0,0.0,-80.0
268,-80.0,0.0,0.0
272,-80.0,0.0,0.0
276,-80.0,0.0,0.0
280,-80.0,0.0,0.0
284,-80.0,0.0,0.0
288,0.0,0.0,0.0
292,0.0,0.0,0.0
296,-80.0,80.0,0.0
300,-80.0,0.0,0.0
304,0.0,0.0,-80.0
308,-80.0,0.0,0.0
312,-80.0,0.0,0.0
316,0.0,0.0,0.0
320,-80.0,0.0,0.0
324,0.0,0.0,0.0
328,0.0,0.0,0.0
332,-80.0,0.0,0.0
336,0.0,0.0,0.0
340,-80.0,0.0,-80.0
344,0.0,0.0,0.0
348,-80.0,0.0,0.0
352,-80.0,0.0,0.0
356,0.0,0.0,0.0
360,0.0,0.0,-80.0
364,-80.0,0.0,0.0
368,-80.0,0.0,0.0
372,0.0,0.0,0.0
376,-80.0,0.0,0.0
380,-80.0,0.0,0.0
384,-80.0,0.0,0.0
388,-80.0,0.0,0.0
392,-80.0,0.0,0.0
396,-80.0,0.0,0.0
400,-80.0,0.0,0.0
404,-80.0,0.0,0.0
408,-80.0,0.0,0.0
