TimeUs,Ugen,Ur1,Uc1
2,0.0,0.0,0.0
4,0.0,40.0,20.0
6,0.0,40.0,20.0
8,0.0,0.0,0.0
10,0.0,0.0,0.0
12,0.0,0.0,0.0
14,0.0,40.0,0.0
16,0.0,0.0,0.0
18,40.0,0.0,20.0
20,0.0,0.0,0.0
22,0.0,0.0,0.0
24,0.0,0.0,0.0
26,0.0,0.0,0.0
28,0.0,0.0,0.0
30,0.0,0.0,20.0
32,0.0,0.0,0.0
34,0.0,0.0,0.0
36,40.0,0.0,0.0
38,0.0,0.0,0.0
40,0.0,40.0,0.0
42,0.0,40.0,20.0
44,0.0,0.0,0.0
46,0.0,0.0,20.0
48,0.0,0.0,20.0
50,0.0,40.0,0.0
52,0.0,0.0,20.0
54,0.0,0.0,0.0
56,0.0,40.0,0.0
58,0.0,0.0,0.0
60,0.0,0.0,20.0
62,0.0,0.0,0.0
64,0.0,0.0,0.0
66,40.0,0.0,0.0
68,0.0,0.0,0.0
70,80.0,0.0,20.0
72,0.0,80.0,0.0
74,0.0,0.0,20.0
76,0.0,0.0,0.0
78,0.0,0.0,0.0
80,0.0,0.0,20.0
82,0.0,0.0,0.0
84,0.0,40.0,0.0
86,0.0,0.0,0.0
88,0.0,0.0,0.0
90,0.0,40.0,0.0
92,0.0,40.0,0.0
94,0.0,0.0,0.0
96,0.0,0.0,0.0
98,0.0,0.0,0.0
100,0.0,40.0,0.0
102,40.0,0.0,0.0
104,0.0,40.0,0.0
106,0.0,40.0,0.0
108,0.0,0.0,0.0
110,0.0,0.0,0.0
112,0.0,0.0,0.0
114,0.0,40.0,0.0
116,0.0,0.0,0.0
118,0.0,40.0,20.0
120,0.0,40.0,20.0
122,40.0,0.0,0.0
124,0.0,0.0,0.0
126,0.0,0.0,0.0
128,0.0,0.0,0.0
130,0.0,0.0,20.0
132,0.0,0.0,0.0
134,40.0,0.0,0.0
136,0.0,0.0,0.0
138,0.0,0.0,0.0
140,0.0,0.0,0.0
142,0.0,40.0,0.0
144,40.0,0.0,20.0
146,0.0,0.0,20.0
148,0.0,0.0,20.0
150,0.0,40.0,0.0
152,0.0,40.0,20.0
154,0.0,0.0,20.0
156,0.0,40.0,0.0
158,40.0,40.0,20.0
160,0.0,40.0,0.0
162,0.0,0.0,0.0
164,0.0,0.0,0.0
166,0.0,0.0,0.0
168,0.0,40.0,20.0
170,0.0,0.0,0.0
172,0.0,0.0,0.0
174,0.0,0.0,0.0
176,40.0,0.0,0.0
178,0.0,0.0,0.0
180,40.0,0.0,0.0
182,0.0,0.0,0.0
184,0.0,0.0,0.0
186,0.0,0.0,0.0
188,0.0,0.0,20.0
190,0.0,0.0,0.0
192,0.0,40.0,0.0
194,40.0,0.0,0.0
196,0.0,0.0,0.0
198,0.0,0.0,20.0
200,0.0,0.0,0.0
202,0.0,40.0,0.0
204,0.0,0.0,0.0
206,0.0,0.0,0.0
208,0.0,0.0,0.0
210,0.0,0.0,0.0
212,0.0,0.0,0.0
214,0.0,0.0,0.0
216,0.0,0.0,0.0
218,0.0,0.0,0.0
220,0.0,0.0,0.0
222,0.0,0.0,0.0
224,-40.0,40.0,0.0
226,0.0,0.0,20.0
228,0.0,0.0,0.0
230,0.0,0.0,0.0
232,0.0,0.0,20.0
234,0.0,0.0,20.0
236,0.0,0.0,0.0
238,0.0,0.0,0.0
240,40.0,40.0,0.0
242,0.0,40.0,0.0
244,0.0,0.0,0.0
246,0.0,0.0,0.0
248,0.0,0.0,0.0
250,0.0,0.0,20.0
252,0.0,40.0,0.0
254,0.0,0.0,0.0
256,0.0,0.0,0.0
258,0.0,0.0,0.0
260,0.0,0.0,0.0
262,0.0,40.0,20.0
264,0.0,0.0,0.0
266,0.0,0.0,0.0
268,0.0,0.0,0.0
270,0.0,0.0,0.0
272,0.0,0.0,0.0
274,0.0,40.0,0.0
276,0.0,0.0,0.0
278,40.0,40.0,0.0
280,0.0,0.0,0.0
282,0.0,0.0,0.0
284,0.0,0.0,0.0
286,0.0,0.0,0.0
288,0.0,40.0,0.0
290,0.0,40.0,0.0
292,0.0,0.0,0.0
294,0.0,0.0,0.0
296,0.0,40.0,20.0
298,0.0,0.0,0.0
300,0.0,0.0,0.0
302,0.0,0.0,0.0
304,0.0,0.0,0.0
306,0.0,0.0,0.0
308,40.0,40.0,0.0
310,0.0,40.0,0.0
312,0.0,0.0,0.0
314,0.0,0.0,0.0
316,0.0,40.0,0.0
318,0.0,0.0,0.0
320,0.0,0.0,0.0
322,40.0,40.0,0.0
324,0.0,0.0,0.0
326,0.0,0.0,0.0
328,0.0,0.0,0.0
330,0.0,0.0,0.0
332,0.0,40.0,0.0
334,0.0,0.0,0.0
336,0.0,0.0,0.0
338,0.0,0.0,0.0
340,0.0,0.0,20.0
342,0.0,0.0,20.0
344,0.0,0.0,0.0
346,0.0,40.0,0.0
348,0.0,40.0,0.0
350,0.0,40.0,0.0
352,0.0,0.0,0.0
354,0.0,0.0,0.0
356,0.0,0.0,20.0
358,0.0,0.0,20.0
360,0.0,0.0,20.0
362,0.0,0.0,20.0
364,0.0,40.0,0.0
366,0.0,0.0,20.0
368,40.0,0.0,20.0
370,0.0,0.0,20.0
372,0.0,0.0,0.0
374,0.0,40.0,0.0
376,0.0,40.0,0.0
378,0.0,0.0,0.0
380,0.0,40.0,0.0
382,0.0,0.0,0.0
384,0.0,0.0,0.0
386,0.0,40.0,0.0
388,0.0,0.0,0.0
390,0.0,0.0,0.0
392,0.0,0.0,0.0
394,0.0,0.0,0.0
396,0.0,0.0,0.0
398,0.0,0.0,0.0
400,0.0,0.0,0.0
402,40.0,0.0,0.0
404,0.0,40.0,0.0
406,0.0,0.0,0.0
408,40.0,0.0,0.0
410,0.0,40.0,0.0
412,0.0,40.0,0.0
414,0.0,0.0,20.0
416,0.0,0.0,0.0
418,0.0,0.0,0.0
420,0.0,40.0,0.0
422,0.0,0.0,0.0
424,40.0,0.0,0.0
426,0.0,0.0,0.0
428,0.0,0.0,0.0
430,40.0,0.0,0.0
432,0.0,0.0,0.0
434,0.0,0.0,0.0
436,0.0,0.0,0.0
438,0.0,0.0,0.0
440,0.0,0.0,0.0
442,0.0,0.0,0.0
444,0.0,40.0,0.0
446,0.0,0.0,0.0
448,0.0,0.0,0.0
450,0.0,40.0,0.0
452,0.0,0.0,20.0
454,0.0,0.0,0.0
456,0.0,40.0,0.0
458,0.0,0.0,0.0
460,0.0,0.0,0.0
462,0.0,0.0,0.0
464,0.0,40.0,0.0
466,0.0,40.0,0.0
468,0.0,40.0,0.0
470,40.0,40.0,-20.0
472,0.0,40.0,0.0
474,0.0,0.0,20.0
476,0.0,40.0,0.0
478,40.0,40.0,0.0
480,0.0,0.0,0.0
482,0.0,0.0,0.0
484,0.0,40.0,0.0
486,0.0,0.0,0.0
488,0.0,0.0,0.0
490,0.0,40.0,0.0
492,0.0,40.0,20.0
494,0.0,0.0,20.0
496,0.0,0.0,0.0
498,0.0,0.0,0.0
500,0.0,40.0,0.0
502,0.0,0.0,0.0
504,0.0,0.0,20.0
506,0.0,0.0,0.0
508,0.0,0.0,0.0
510,0.0,0.0,20.0
512,0.0,40.0,0.0
514,0.0,40.0,0.0
516,0.0,0.0,0.0
518,0.0,40.0,0.0
520,0.0,40.0,20.0
522,0.0,0.0,0.0
524,0.0,40.0,20.0
526,0.0,0.0,0.0
528,0.0,0.0,0.0
530,0.0,0.0,0.0
532,0.0,0.0,0.0
534,0.0,40.0,0.0
536,0.0,40.0,0.0
538,0.0,0.0,0.0
