index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
90,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
91,80.0,2480.0,2480.0,8480.0,80.0,80.0,2320.0
92,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
93,0.0,2560.0,2560.0,8480.0,-80.0,80.0,2240.0
94,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
95,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
96,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
97,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
98,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
99,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
100,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
101,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
102,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
103,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
104,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
105,0.0,2480.0,2480.0,8400.0,0.0,80.0,2320.0
106,80.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
107,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
108,80.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
109,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
110,80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
111,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
112,-80.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
113,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
114,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
115,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
116,160.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
117,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
118,0.0,2560.0,2480.0,8480.0,-80.0,80.0,2320.0
119,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
120,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
121,80.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
122,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
