TimeUs,Urg (Ch1),Ugen,Ugs (Ch2),Urn (Ch3),Uds (Ch4)
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,1690.6666666666667,2360.0,760.0,7552.0,207.33333333333334
31,1685.3333333333333,2354.6666666666665,760.0,7549.333333333333,207.33333333333334
32,1680.0,2349.3333333333335,760.0,7552.0,207.33333333333334
33,1674.6666666666667,2344.0,760.0,7552.0,210.0
34,1669.3333333333333,2341.3333333333335,760.0,7549.333333333333,212.66666666666666
35,1664.0,2338.6666666666665,760.0,7546.666666666667,212.66666666666666
36,1658.6666666666667,2330.6666666666665,760.0,7544.0,212.66666666666666
37,1656.0,2322.6666666666665,760.0,7544.0,215.33333333333334
38,1648.0,2314.6666666666665,760.0,7544.0,218.0
39,1640.0,2306.6666666666665,760.0,7544.0,218.0
40,1634.6666666666667,2304.0,760.0,7544.0,218.0
41,1629.3333333333333,2296.0,760.0,7541.333333333333,218.0
42,1624.0,2290.6666666666665,760.0,7538.666666666667,218.0
43,1621.3333333333333,2285.3333333333335,760.0,7538.666666666667,218.0
44,1618.6666666666667,2280.0,760.0,7538.666666666667,220.66666666666666
45,1616.0,2274.6666666666665,760.0,7538.666666666667,223.33333333333334
46,1613.3333333333333,2269.3333333333335,760.0,7538.666666666667,223.33333333333334
47,1610.6666666666667,2264.0,760.0,7536.0,226.0
48,1608.0,2258.6666666666665,760.0,7536.0,228.66666666666666
49,1602.6666666666667,2253.3333333333335,760.0,7533.333333333333,231.33333333333334
50,1602.6666666666667,2253.3333333333335,760.0,7533.333333333333,234.0
51,1600.0,2250.6666666666665,760.0,7530.666666666667,236.66666666666666
52,1592.0,2245.3333333333335,760.0,7530.666666666667,239.33333333333334
53,1586.6666666666667,2237.3333333333335,760.0,7530.666666666667,242.0
54,1581.3333333333333,2229.3333333333335,760.0,7530.666666666667,244.66666666666666
55,1573.3333333333333,2224.0,760.0,7530.666666666667,244.66666666666666
56,1568.0,2221.3333333333335,760.0,7530.666666666667,247.33333333333334
57,1562.6666666666667,2213.3333333333335,760.0,7528.0,250.0
58,1560.0,2208.0,760.0,7528.0,252.66666666666666
59,1557.3333333333333,2202.6666666666665,760.0,7525.333333333333,255.33333333333334
60,1552.0,2197.3333333333335,760.0,7525.333333333333,258.0
61,1546.6666666666667,2192.0,760.0,7522.666666666667,258.0
62,1541.3333333333333,2186.6666666666665,760.0,7520.0,260.6666666666667
63,1536.0,2181.3333333333335,760.0,7517.333333333333,263.3333333333333
64,1530.6666666666667,2176.0,760.0,7517.333333333333,263.3333333333333
65,1525.3333333333333,2170.6666666666665,760.0,7517.333333333333,266.0
66,1520.0,2168.0,760.0,7517.333333333333,268.6666666666667
67,1514.6666666666667,2165.3333333333335,760.0,7514.666666666667,268.6666666666667
68,1509.3333333333333,2160.0,760.0,7512.0,268.6666666666667
69,1504.0,2154.6666666666665,760.0,7512.0,271.3333333333333
70,1498.6666666666667,2146.6666666666665,760.0,7509.333333333333,274.0
71,1493.3333333333333,2141.3333333333335,760.0,7509.333333333333,276.6666666666667
72,1490.6666666666667,2138.6666666666665,760.0,7506.666666666667,279.3333333333333
73,1485.3333333333333,2133.3333333333335,760.0,7504.0,282.0
