Channel              :,CH1,CH2
Frequency            :,4.225MHz,4.231MHz
Period               :,236.7ns,236.3ns
PK-PK                :,1.200V,8.080V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
274,1200.000000,3680.000000
275,1200.000000,3840.000000
276,1280.000000,3840.000000
277,1360.000000,3920.000000
278,1280.000000,4000.000000
279,1280.000000,4080.000000
280,1200.000000,4160.000000
281,1280.000000,4160.000000
282,1280.000000,4160.000000
283,1280.000000,4240.000000
284,1200.000000,4160.000000
285,1280.000000,4240.000000
286,1280.000000,4320.000000
287,1360.000000,4320.000000
288,1360.000000,4320.000000
289,1280.000000,4320.000000
290,1280.000000,4320.000000
291,1280.000000,4400.000000
292,1280.000000,4320.000000
293,1360.000000,4400.000000
294,1280.000000,4400.000000
295,1280.000000,4400.000000
296,1360.000000,4400.000000
297,1360.000000,4400.000000
298,1280.000000,4400.000000
299,1280.000000,4400.000000
300,1280.000000,4480.000000
301,1280.000000,4400.000000
302,1280.000000,4320.000000
303,1280.000000,4240.000000
304,1200.000000,4160.000000
305,1200.000000,4000.000000
306,1120.000000,3760.000000
307,1200.000000,3520.000000
308,1040.000000,3200.000000
309,1040.000000,2960.000000
310,1040.000000,2640.000000
311,1040.000000,2240.000000
312,960.000000,1920.000000
313,960.000000,1520.000000
314,800.000000,1200.000000
315,800.000000,880.000000
316,800.000000,560.000000
317,800.000000,240.000000
318,720.000000,-160.000000
319,640.000000,-480.000000
320,640.000000,-800.000000
321,560.000000,-1120.000000
322,560.000000,-1440.000000
323,560.000000,-1680.000000
324,480.000000,-2000.000000
325,480.000000,-2240.000000
326,400.000000,-2480.000000
327,320.000000,-2720.000000
328,400.000000,-2960.000000
329,320.000000,-3200.000000
330,320.000000,-3280.000000
331,240.000000,-3440.000000
332,320.000000,-3440.000000
333,320.000000,-3520.000000
334,320.000000,-3520.000000
335,320.000000,-3520.000000
336,240.000000,-3520.000000
337,240.000000,-3520.000000
338,320.000000,-3440.000000
339,320.000000,-3520.000000
340,240.000000,-3440.000000
341,240.000000,-3520.000000
342,240.000000,-3520.000000
343,240.000000,-3520.000000
344,240.000000,-3520.000000
345,240.000000,-3520.000000
346,240.000000,-3520.000000
347,240.000000,-3520.000000
348,240.000000,-3520.000000
349,240.000000,-3600.000000
350,240.000000,-3520.000000
351,320.000000,-3520.000000
352,240.000000,-3520.000000
353,240.000000,-3520.000000
354,240.000000,-3520.000000
355,320.000000,-3520.000000
356,320.000000,-3520.000000
357,320.000000,-3600.000000
358,240.000000,-3520.000000
359,320.000000,-3520.000000
360,320.000000,-3520.000000
361,320.000000,-3600.000000
362,320.000000,-3520.000000
363,320.000000,-3520.000000
364,320.000000,-3520.000000
365,320.000000,-3520.000000
366,400.000000,-3520.000000
367,400.000000,-3440.000000
368,400.000000,-3360.000000
369,400.000000,-3120.000000
370,560.000000,-2640.000000
371,720.000000,-2000.000000
372,720.000000,-1120.000000
373,720.000000,-480.000000
374,720.000000,80.000000
375,800.000000,640.000000
376,880.000000,1040.000000
377,960.000000,1440.000000
378,960.000000,1680.000000
379,1040.000000,2000.000000
380,960.000000,2240.000000
381,1040.000000,2480.000000
382,1040.000000,2640.000000
383,1040.000000,2880.000000
384,1040.000000,2960.000000
385,1040.000000,3120.000000
386,1120.000000,3280.000000
387,1200.000000,3360.000000
388,1200.000000,3520.000000
389,1280.000000,3600.000000
390,1280.000000,3760.000000
391,1360.000000,3840.000000
392,1280.000000,3920.000000
393,1280.000000,3920.000000
394,1280.000000,4080.000000
395,1280.000000,4160.000000
396,1200.000000,4160.000000
397,1280.000000,4160.000000
398,1280.000000,4160.000000
399,1280.000000,4160.000000
400,1280.000000,4240.000000
401,1280.000000,4240.000000
402,1280.000000,4240.000000
403,1360.000000,4320.000000
404,1360.000000,4240.000000
405,1360.000000,4320.000000
406,1280.000000,4320.000000
407,1360.000000,4320.000000
408,1280.000000,4400.000000
409,1360.000000,4400.000000
410,1360.000000,4400.000000
411,1280.000000,4400.000000
412,1280.000000,4400.000000
413,1280.000000,4480.000000
414,1280.000000,4480.000000
415,1280.000000,4480.000000
416,1280.000000,4480.000000
417,1280.000000,4320.000000
418,1280.000000,4320.000000
419,1200.000000,4320.000000
420,1200.000000,4080.000000
421,1200.000000,4000.000000
422,1120.000000,3760.000000
423,1120.000000,3440.000000
424,1120.000000,3200.000000
425,1040.000000,2880.000000
426,1040.000000,2480.000000
427,960.000000,2160.000000
428,960.000000,1840.000000
429,880.000000,1440.000000
430,880.000000,1120.000000
431,800.000000,800.000000
432,720.000000,400.000000
433,720.000000,160.000000
434,720.000000,-240.000000
435,720.000000,-560.000000
436,640.000000,-880.000000
437,640.000000,-1120.000000
438,560.000000,-1440.000000
439,480.000000,-1760.000000
440,480.000000,-2000.000000
441,400.000000,-2240.000000
442,400.000000,-2560.000000
443,400.000000,-2800.000000
444,320.000000,-2960.000000
445,320.000000,-3200.000000
446,320.000000,-3280.000000
447,320.000000,-3520.000000
448,320.000000,-3520.000000
449,240.000000,-3520.000000
450,320.000000,-3520.000000
451,240.000000,-3520.000000
452,240.000000,-3440.000000
453,240.000000,-3440.000000
454,240.000000,-3440.000000
455,240.000000,-3440.000000
456,240.000000,-3520.000000
457,160.000000,-3440.000000
458,240.000000,-3440.000000
459,240.000000,-3440.000000
460,240.000000,-3520.000000
461,160.000000,-3520.000000
462,240.000000,-3520.000000
463,240.000000,-3520.000000
464,240.000000,-3520.000000
465,240.000000,-3520.000000
466,240.000000,-3520.000000
467,240.000000,-3520.000000
468,240.000000,-3520.000000
469,240.000000,-3520.000000
470,320.000000,-3520.000000
471,240.000000,-3520.000000
472,240.000000,-3520.000000
473,240.000000,-3520.000000
474,320.000000,-3520.000000
475,320.000000,-3600.000000
476,320.000000,-3520.000000
477,320.000000,-3520.000000
478,320.000000,-3520.000000
479,320.000000,-3520.000000
480,400.000000,-3520.000000
481,320.000000,-3520.000000
482,320.000000,-3440.000000
483,320.000000,-3360.000000
484,400.000000,-3280.000000
485,480.000000,-2960.000000
486,640.000000,-2400.000000
487,720.000000,-1680.000000
488,720.000000,-880.000000
489,720.000000,-240.000000
490,800.000000,320.000000
491,880.000000,720.000000
492,880.000000,1120.000000
493,960.000000,1520.000000
494,960.000000,1760.000000
495,960.000000,2080.000000
496,960.000000,2320.000000
497,960.000000,2480.000000
498,1040.000000,2720.000000
499,1120.000000,2880.000000
500,1040.000000,3040.000000
501,1120.000000,3200.000000
502,1120.000000,3280.000000
503,1200.000000,3440.000000
504,1200.000000,3520.000000
505,1200.000000,3680.000000
506,1280.000000,3760.000000
507,1280.000000,3840.000000
508,1280.000000,4000.000000
509,1280.000000,4000.000000
510,1280.000000,4080.000000
511,1200.000000,4080.000000
512,1280.000000,4160.000000
513,1280.000000,4160.000000
514,1280.000000,4160.000000
515,1360.000000,4240.000000
516,1280.000000,4240.000000
517,1280.000000,4240.000000
518,1280.000000,4320.000000
519,1360.000000,4320.000000
520,1360.000000,4320.000000
521,1360.000000,4320.000000
522,1360.000000,4320.000000
523,1360.000000,4400.000000
524,1360.000000,4400.000000
525,1360.000000,4400.000000
526,1360.000000,4400.000000
527,1360.000000,4400.000000
528,1280.000000,4400.000000
529,1280.000000,4400.000000
530,1280.000000,4480.000000
531,1280.000000,4400.000000
532,1280.000000,4480.000000
533,1280.000000,4400.000000
534,1200.000000,4400.000000
535,1280.000000,4240.000000
536,1200.000000,4080.000000
537,1200.000000,3920.000000
538,1120.000000,3600.000000
539,1120.000000,3440.000000
540,1120.000000,3040.000000
541,1120.000000,2800.000000
542,960.000000,2480.000000
543,960.000000,2080.000000
544,880.000000,1760.000000
545,880.000000,1360.000000
546,880.000000,1040.000000
547,800.000000,720.000000
548,720.000000,320.000000
549,720.000000,0.000000
550,640.000000,-240.000000
551,640.000000,-640.000000
552,560.000000,-960.000000
553,560.000000,-1280.000000
554,480.000000,-1520.000000
555,480.000000,-1840.000000
556,480.000000,-2160.000000
557,400.000000,-2400.000000
558,400.000000,-2640.000000
559,320.000000,-2880.000000
560,320.000000,-3040.000000
561,320.000000,-3280.000000
562,320.000000,-3360.000000
563,240.000000,-3520.000000
564,240.000000,-3520.000000
565,240.000000,-3520.000000
