Channel              :,CH1,CH2
Frequency            :,500.0Hz,500.0Hz
Period               :,2.000ms,2.000ms
PK-PK                :,7.200V,8.160V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
264,1680.000000,-3520.000000
265,1600.000000,-3520.000000
266,1600.000000,-3520.000000
267,1680.000000,-3520.000000
268,1680.000000,-3520.000000
269,1680.000000,-3520.000000
270,1600.000000,-3520.000000
271,1680.000000,-3600.000000
272,1680.000000,-3600.000000
273,1600.000000,-3520.000000
274,1600.000000,-3520.000000
275,1600.000000,-3520.000000
276,1680.000000,-3600.000000
277,1680.000000,-3600.000000
278,1600.000000,-3600.000000
279,1600.000000,-3600.000000
280,1680.000000,-3600.000000
281,1600.000000,-3600.000000
282,1680.000000,-3600.000000
283,1760.000000,-3520.000000
284,1760.000000,-3600.000000
285,1680.000000,-3520.000000
286,1680.000000,-3600.000000
287,1760.000000,-3520.000000
288,1680.000000,-3520.000000
289,1680.000000,-3600.000000
290,1680.000000,-3600.000000
291,1760.000000,-3520.000000
292,1680.000000,-3520.000000
293,1680.000000,-3600.000000
294,1680.000000,-3520.000000
295,1680.000000,-3520.000000
296,1760.000000,-3600.000000
297,1680.000000,-3600.000000
298,1680.000000,-3520.000000
299,1760.000000,-3600.000000
300,1680.000000,-3600.000000
301,1760.000000,-3520.000000
302,1760.000000,-3600.000000
303,1760.000000,-3600.000000
304,1760.000000,-3520.000000
305,1760.000000,-3520.000000
306,1760.000000,-3520.000000
307,1760.000000,-3520.000000
308,1760.000000,-3520.000000
309,1760.000000,-3520.000000
310,1760.000000,-3520.000000
311,1760.000000,-3600.000000
312,1760.000000,-3600.000000
313,1760.000000,-3600.000000
314,1760.000000,-3600.000000
315,1760.000000,-3600.000000
316,1840.000000,-3520.000000
317,1760.000000,-3520.000000
318,1760.000000,-3600.000000
319,1760.000000,-3600.000000
320,1760.000000,-3600.000000
321,1760.000000,-3600.000000
322,1840.000000,-3600.000000
323,1760.000000,-3600.000000
324,1840.000000,-3600.000000
325,1840.000000,-3520.000000
326,1840.000000,-3600.000000
327,1840.000000,-3520.000000
328,1840.000000,-3600.000000
329,1840.000000,-3600.000000
330,1840.000000,-3520.000000
331,1840.000000,-3520.000000
332,1840.000000,-3600.000000
333,1840.000000,-3600.000000
334,1840.000000,-3600.000000
335,1840.000000,-3600.000000
336,1840.000000,-3520.000000
337,1760.000000,-3600.000000
338,1920.000000,-3600.000000
339,1840.000000,-3520.000000
340,1840.000000,-3600.000000
341,1920.000000,-3600.000000
342,1840.000000,-3520.000000
343,1920.000000,-3600.000000
344,1920.000000,-3600.000000
345,1920.000000,-3600.000000
346,1920.000000,-3600.000000
347,1920.000000,-3600.000000
348,1920.000000,-3600.000000
349,1840.000000,-3520.000000
350,1840.000000,-3600.000000
351,1840.000000,-3600.000000
352,1920.000000,-3520.000000
353,1840.000000,-3600.000000
354,1920.000000,-3600.000000
355,1840.000000,-3520.000000
356,1920.000000,-3600.000000
357,1920.000000,-3600.000000
358,1920.000000,-3520.000000
359,1920.000000,-3520.000000
360,1920.000000,-3520.000000
361,1920.000000,-3600.000000
362,1920.000000,-3600.000000
363,1920.000000,-3600.000000
364,1920.000000,-3520.000000
365,2000.000000,-3600.000000
366,1920.000000,-3600.000000
367,2000.000000,-3520.000000
368,1920.000000,-3520.000000
369,1920.000000,-3600.000000
370,1920.000000,-3520.000000
371,1920.000000,-3600.000000
372,2000.000000,-3600.000000
373,2000.000000,-3520.000000
374,1920.000000,-3600.000000
375,1920.000000,-3600.000000
376,2000.000000,-3520.000000
377,1920.000000,-3600.000000
378,2000.000000,-3600.000000
379,2000.000000,-3600.000000
380,2000.000000,-3600.000000
381,2000.000000,-3520.000000
382,2000.000000,-3600.000000
383,2000.000000,-3600.000000
384,2000.000000,-3520.000000
385,2000.000000,-3520.000000
386,2000.000000,-3520.000000
387,2080.000000,-3600.000000
388,2000.000000,-3520.000000
389,2000.000000,-3600.000000
390,2000.000000,-3520.000000
391,2000.000000,-3600.000000
392,2000.000000,-3600.000000
393,2080.000000,-3520.000000
394,2000.000000,-3600.000000
395,2000.000000,-3520.000000
396,2080.000000,-3520.000000
397,2000.000000,-3520.000000
398,2080.000000,-3520.000000
399,2080.000000,-3520.000000
400,2080.000000,-3600.000000
401,2080.000000,-3600.000000
402,2160.000000,-3520.000000
403,2080.000000,-3600.000000
404,2080.000000,-3600.000000
405,2000.000000,-3520.000000
406,2080.000000,-3520.000000
407,2080.000000,-3520.000000
408,2080.000000,-3600.000000
409,2080.000000,-3600.000000
410,2000.000000,-3520.000000
411,2080.000000,-3520.000000
412,2080.000000,-3600.000000
413,2080.000000,-3600.000000
414,2080.000000,-3520.000000
415,2080.000000,-3520.000000
416,2080.000000,-3520.000000
417,2080.000000,-3600.000000
418,2080.000000,-3520.000000
419,2080.000000,-3600.000000
420,2160.000000,-3520.000000
421,2160.000000,-3520.000000
422,2160.000000,-3600.000000
423,2160.000000,-3600.000000
