index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
88,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
89,640.0,4480.0,4080.0,8560.0,80.0,480.0,3920.0
90,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
91,640.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
92,560.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
93,560.0,4560.0,4080.0,8560.0,80.0,480.0,4000.0
94,640.0,4560.0,4080.0,8560.0,80.0,400.0,4000.0
95,640.0,4560.0,4080.0,8560.0,80.0,480.0,3920.0
96,640.0,4480.0,4080.0,8560.0,80.0,480.0,4000.0
97,640.0,4480.0,4080.0,8560.0,80.0,480.0,4000.0
98,560.0,4480.0,4080.0,8560.0,0.0,480.0,4000.0
99,560.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
100,560.0,4480.0,4160.0,8560.0,80.0,400.0,4000.0
101,560.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
102,560.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
103,480.0,4480.0,4080.0,8560.0,80.0,480.0,4000.0
104,560.0,4480.0,4080.0,8560.0,0.0,400.0,4000.0
105,480.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
106,480.0,4480.0,4080.0,8560.0,80.0,400.0,4000.0
107,480.0,4480.0,4080.0,8560.0,80.0,320.0,4000.0
108,480.0,4480.0,4080.0,8560.0,0.0,400.0,4000.0
109,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
110,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
111,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
112,480.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
113,480.0,4400.0,4160.0,8560.0,0.0,320.0,4000.0
114,480.0,4400.0,4080.0,8560.0,0.0,320.0,4000.0
115,480.0,4320.0,4080.0,8560.0,80.0,320.0,4000.0
116,480.0,4400.0,4160.0,8560.0,80.0,320.0,4000.0
117,400.0,4400.0,4080.0,8560.0,0.0,320.0,4000.0
118,400.0,4400.0,4080.0,8560.0,80.0,240.0,4000.0
119,400.0,4400.0,4080.0,8560.0,80.0,320.0,4000.0
120,400.0,4400.0,4160.0,8560.0,80.0,240.0,4000.0
121,480.0,4400.0,4080.0,8560.0,80.0,240.0,4000.0
122,400.0,4320.0,4080.0,8560.0,80.0,240.0,4000.0
123,400.0,4320.0,4080.0,8560.0,80.0,240.0,4000.0
124,400.0,4320.0,4160.0,8560.0,0.0,240.0,4000.0
125,320.0,4320.0,4080.0,8560.0,80.0,240.0,4000.0
126,400.0,4320.0,4160.0,8560.0,80.0,240.0,4000.0
127,320.0,4320.0,4160.0,8560.0,80.0,240.0,4000.0
128,400.0,4240.0,4080.0,8560.0,80.0,240.0,4000.0
129,320.0,4320.0,4160.0,8560.0,80.0,240.0,4000.0
130,400.0,4320.0,4160.0,8560.0,80.0,240.0,4000.0
131,320.0,4320.0,4160.0,8560.0,80.0,160.0,4000.0
132,320.0,4320.0,4160.0,8480.0,0.0,160.0,4000.0
133,320.0,4320.0,4080.0,8560.0,80.0,160.0,4000.0
134,320.0,4320.0,4080.0,8560.0,0.0,160.0,4000.0
135,320.0,4240.0,4160.0,8560.0,80.0,160.0,4000.0
136,320.0,4320.0,4160.0,8560.0,80.0,160.0,4000.0
137,320.0,4240.0,4080.0,8560.0,80.0,160.0,4000.0
138,240.0,4320.0,4160.0,8560.0,80.0,160.0,4000.0
139,240.0,4240.0,4160.0,8560.0,80.0,160.0,4000.0
140,240.0,4320.0,4160.0,8560.0,0.0,160.0,4000.0
141,320.0,4240.0,4160.0,8560.0,80.0,160.0,4000.0
142,240.0,4240.0,4160.0,8560.0,80.0,160.0,4080.0
143,240.0,4240.0,4160.0,8560.0,80.0,80.0,4000.0
144,240.0,4240.0,4160.0,8560.0,80.0,80.0,4000.0
145,240.0,4240.0,4160.0,8560.0,80.0,80.0,4000.0
146,240.0,4240.0,4160.0,8480.0,0.0,80.0,4000.0
147,240.0,4240.0,4160.0,8560.0,80.0,80.0,4000.0
148,240.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
149,240.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
150,160.0,4160.0,4080.0,8560.0,80.0,80.0,4000.0
151,160.0,4160.0,4160.0,8560.0,0.0,0.0,4000.0
152,160.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
153,160.0,4160.0,4160.0,8560.0,80.0,0.0,4000.0
154,160.0,4160.0,4160.0,8560.0,80.0,0.0,4000.0
155,240.0,4080.0,4160.0,8560.0,80.0,0.0,4000.0
156,160.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
157,240.0,4160.0,4160.0,8560.0,0.0,0.0,4000.0
158,240.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
159,240.0,4160.0,4080.0,8560.0,80.0,80.0,4000.0
160,240.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
161,160.0,4160.0,4080.0,8560.0,80.0,80.0,4000.0
162,240.0,4160.0,4160.0,8560.0,80.0,80.0,4000.0
163,160.0,4160.0,4080.0,8560.0,80.0,0.0,4000.0
164,80.0,4160.0,4160.0,8560.0,80.0,0.0,4000.0
165,80.0,4080.0,4080.0,8560.0,80.0,0.0,4000.0
166,80.0,4160.0,4160.0,8560.0,80.0,-80.0,4080.0
167,80.0,4080.0,4160.0,8560.0,0.0,0.0,4000.0
168,160.0,4080.0,4080.0,8560.0,80.0,-80.0,4000.0
169,80.0,4080.0,4160.0,8560.0,80.0,0.0,4000.0
170,80.0,4080.0,4160.0,8560.0,80.0,-80.0,4000.0
171,80.0,4080.0,4160.0,8560.0,0.0,0.0,4000.0
172,80.0,4080.0,4160.0,8560.0,80.0,-80.0,4080.0
173,80.0,4000.0,4080.0,8560.0,80.0,-80.0,4000.0
174,80.0,4080.0,4160.0,8560.0,80.0,0.0,4000.0
175,80.0,4000.0,4080.0,8560.0,80.0,-80.0,4000.0
176,80.0,4000.0,4080.0,8560.0,80.0,-80.0,4000.0
177,80.0,4000.0,4080.0,8560.0,80.0,-80.0,4000.0
178,0.0,4000.0,4160.0,8560.0,80.0,-80.0,4000.0
179,80.0,4000.0,4160.0,8560.0,80.0,-80.0,4000.0
180,80.0,4000.0,4160.0,8480.0,0.0,-80.0,4000.0
181,0.0,4000.0,4160.0,8560.0,0.0,-80.0,4000.0
182,0.0,4000.0,4080.0,8560.0,0.0,-80.0,4000.0
183,0.0,4000.0,4160.0,8560.0,80.0,-80.0,4000.0
184,0.0,4000.0,4080.0,8560.0,80.0,-80.0,4000.0
185,0.0,4000.0,4160.0,8560.0,80.0,-160.0,4000.0
186,0.0,4000.0,4160.0,8560.0,80.0,-160.0,4000.0
187,0.0,4000.0,4080.0,8560.0,80.0,-240.0,4000.0
188,0.0,3920.0,4160.0,8560.0,80.0,-80.0,4000.0
189,0.0,4000.0,4160.0,8480.0,80.0,-160.0,3920.0
190,0.0,3920.0,4160.0,8560.0,80.0,-160.0,4000.0
191,-80.0,3920.0,4160.0,8560.0,0.0,-160.0,3920.0
192,-80.0,3920.0,4160.0,8560.0,80.0,-160.0,4000.0
193,0.0,3920.0,4160.0,8560.0,80.0,-160.0,4000.0
194,0.0,3840.0,4160.0,8560.0,0.0,-160.0,4000.0
195,-80.0,3920.0,4160.0,8560.0,80.0,-160.0,4000.0
196,-80.0,3920.0,4080.0,8560.0,80.0,-160.0,4000.0
197,-80.0,3920.0,4080.0,8560.0,0.0,-320.0,4000.0
198,-80.0,3920.0,4080.0,8560.0,80.0,-240.0,4080.0
