Channel              :,CH1,CH2
Frequency            :,599.7Hz,599.7Hz
Period               :,1.668ms,1.668ms
PK-PK                :,5.040V,3.120V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,1.00000uS,1.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
296,3840.000000,2240.000000
297,3840.000000,2240.000000
298,3840.000000,2240.000000
299,3840.000000,2240.000000
300,3840.000000,2240.000000
301,3920.000000,2240.000000
302,3920.000000,2320.000000
303,3920.000000,2320.000000
304,3840.000000,2320.000000
305,3840.000000,2320.000000
306,3840.000000,2320.000000
307,3920.000000,2320.000000
308,3920.000000,2320.000000
309,3920.000000,2320.000000
310,3920.000000,2400.000000
311,3920.000000,2400.000000
312,3920.000000,2320.000000
313,3920.000000,2400.000000
314,3920.000000,2400.000000
315,4000.000000,2400.000000
316,4000.000000,2400.000000
317,3920.000000,2400.000000
318,3920.000000,2400.000000
319,3920.000000,2480.000000
320,4000.000000,2480.000000
321,4000.000000,2400.000000
322,4000.000000,2480.000000
323,3920.000000,2480.000000
324,4000.000000,2480.000000
325,4000.000000,2480.000000
326,4000.000000,2480.000000
327,4000.000000,2480.000000
328,4000.000000,2480.000000
329,4080.000000,2480.000000
330,4000.000000,2480.000000
331,4080.000000,2480.000000
332,4080.000000,2560.000000
333,4080.000000,2560.000000
334,4080.000000,2560.000000
335,4080.000000,2560.000000
336,4080.000000,2560.000000
337,4080.000000,2560.000000
338,4080.000000,2560.000000
339,4080.000000,2560.000000
340,4160.000000,2560.000000
341,4080.000000,2560.000000
342,4160.000000,2560.000000
343,4080.000000,2640.000000
344,4080.000000,2640.000000
345,4080.000000,2640.000000
346,4240.000000,2640.000000
347,4160.000000,2640.000000
348,4160.000000,2640.000000
349,4160.000000,2640.000000
350,4160.000000,2640.000000
351,4160.000000,2640.000000
352,4160.000000,2640.000000
353,4160.000000,2640.000000
354,4240.000000,2640.000000
355,4240.000000,2720.000000
356,4240.000000,2640.000000
357,4240.000000,2720.000000
358,4160.000000,2640.000000
359,4160.000000,2720.000000
360,4240.000000,2720.000000
361,4240.000000,2720.000000
362,4240.000000,2720.000000
363,4320.000000,2720.000000
364,4240.000000,2720.000000
365,4240.000000,2720.000000
366,4320.000000,2800.000000
367,4240.000000,2800.000000
368,4240.000000,2800.000000
369,4240.000000,2800.000000
370,4320.000000,2800.000000
371,4320.000000,2800.000000
372,4320.000000,2800.000000
373,4320.000000,2800.000000
374,4320.000000,2800.000000
375,4320.000000,2800.000000
376,4320.000000,2880.000000
377,4320.000000,2880.000000
378,4320.000000,2880.000000
